action,record_type,record_uuid,size_bytes,num_endpoints,num_config_rules,num_constraints,num_sub_services,num_sub_slices,time_requested,time_replied,time_notified,exec_time,event_delay
get,link,cdd7dd85-2fa5-44fc-bae6-5f16c68662bb,741,2,,,,,1685549930.9401398,1685549931.0080986,,0.06795883178710938,
get,link,cdd7dd85-2fa5-44fc-bae6-5f16c68662bb,741,2,,,,,1685550616.0091872,1685550616.0836594,,0.07447218894958496,
delete,link,29c10ed2-89e9-407b-84e3-7014bcbe92c8,741,2,,,,,1685549931.0084217,1685549933.2766712,1685549933.276275,2.26824951171875,2.267853260040283
update,slice,55dfa260-902b-4a37-bbaf-439b500a5bdc,11160,2,5,3,1,2,1685549933.2844148,1685549935.730925,1685549935.7301562,2.4465103149414062,2.4457414150238037
update,link,5214f0ae-c140-4494-8208-b7c1e27fb05a,741,2,,,,,1685549935.7323756,1685549937.9717624,1685549937.9715445,2.239386796951294,2.239168882369995
update,link,5214f0ae-c140-4494-8208-b7c1e27fb05a,741,2,,,,,1685550312.3701952,1685550314.6138716,1685550314.6135993,2.2436764240264893,2.2434041500091553
update,link,5214f0ae-c140-4494-8208-b7c1e27fb05a,741,2,,,,,1685550530.1004624,1685550532.3722577,1685550532.3574302,2.2717952728271484,2.256967782974243
update,link,5214f0ae-c140-4494-8208-b7c1e27fb05a,741,2,,,,,1685550548.0851848,1685550550.3259313,1685550550.325737,2.24074649810791,2.2405521869659424
update,link,5214f0ae-c140-4494-8208-b7c1e27fb05a,741,2,,,,,1685551026.34457,1685551028.5950665,1685551028.5947661,2.2504966259002686,2.2501962184906006
delete,slice,925edbae-b93f-4a43-8e1b-d3c07e3c30c4,10963,2,5,3,0,2,1685549937.97222,1685549940.3434925,1685549940.3431456,2.371272563934326,2.3709256649017334
create,slice,ed958540-eade-47ec-b6c6-dae77276e5f3,10018,2,5,3,1,1,1685549940.3501449,1685549942.8079627,1685549942.8074238,2.457817792892456,2.4572789669036865
create,service,990e1074-d461-4b22-bccf-c257cc174d9c,11189,2,5,3,,,1685549942.8213105,1685549945.2936425,1685549945.285249,2.472332000732422,2.4639384746551514
delete,device,67a2dbbc-af11-448b-9871-f40595152463,106245,9,89,,,,1685549945.2954223,1685549948.0508242,1685549948.0425336,2.755401849746704,2.7471113204956055
create,device,687f8f7b-5029-4af9-bd64-67497720ee25,115686,43,90,,,,1685549948.1381855,1685549951.3458214,1685549951.3309057,3.2076358795166016,3.1927201747894287
create,link,20643d31-7ca0-4490-aff3-84e3dad48d43,741,2,,,,,1685549951.3463302,1685549953.5898266,1685549953.585652,2.2434964179992676,2.2393219470977783
update,device,e2ffa3fd-a5c9-4d00-8662-d22e96bae674,54332,44,34,,,,1685549953.6151257,1685549956.455263,1685549956.4324627,2.840137243270874,2.8173370361328125
get,service,7e1cc175-5c72-415e-b849-2ddbff0444cb,7940,2,5,3,,,1685549956.455434,1685549956.5941381,,0.1387040615081787,
get,service,7e1cc175-5c72-415e-b849-2ddbff0444cb,7940,2,5,3,,,1685550164.5322568,1685550164.673387,,0.1411302089691162,
update,service,d821bc57-a163-475c-9d68-36fbb1fe6761,10639,2,5,3,,,1685549956.6043167,1685549959.096975,1685549959.0493124,2.4926583766937256,2.444995641708374
update,service,d821bc57-a163-475c-9d68-36fbb1fe6761,10157,2,5,3,,,1685550097.464378,1685550099.9029608,1685550099.901697,2.4385826587677,2.437318801879883
update,service,d821bc57-a163-475c-9d68-36fbb1fe6761,9815,2,5,3,,,1685550187.2623045,1685550189.767192,1685550189.746012,2.504887342453003,2.4837074279785156
update,service,d821bc57-a163-475c-9d68-36fbb1fe6761,9243,2,5,3,,,1685550474.5982518,1685550476.974663,1685550476.968617,2.376411199569702,2.3703651428222656
get,slice,0e8a1e08-b8e0-43a9-bf5f-3a057e952792,10181,2,5,3,2,0,1685549959.0989733,1685549959.2283258,,0.12935256958007812,
get,slice,0e8a1e08-b8e0-43a9-bf5f-3a057e952792,10181,2,5,3,2,0,1685550894.620147,1685550894.755989,,0.13584208488464355,
get,device,929e2270-88ae-4296-ba04-f568216737e5,40306,19,30,,,,1685549959.2286317,1685549959.3813796,,0.15274786949157715,
get,device,929e2270-88ae-4296-ba04-f568216737e5,40306,19,30,,,,1685550446.8464973,1685550447.0046017,,0.15810441970825195,
get,device,929e2270-88ae-4296-ba04-f568216737e5,40306,19,30,,,,1685550641.3344374,1685550641.4933279,,0.1588904857635498,
get,device,929e2270-88ae-4296-ba04-f568216737e5,40306,19,30,,,,1685551113.8661733,1685551114.1452606,,0.2790873050689697,
update,device,cc73b1d2-e107-458c-aba2-557387ca536f,51520,4,49,,,,1685549959.4041276,1685549962.1810875,1685549962.1649163,2.7769598960876465,2.760788679122925
delete,device,687f8f7b-5029-4af9-bd64-67497720ee25,115686,43,90,,,,1685549962.185308,1685549964.9392,1685549964.9344773,2.753891944885254,2.74916934967041
create,slice,bfa726f4-bbd3-467b-bc83-86a0727a1b1f,8158,2,5,3,0,1,1685549964.9450088,1685549967.3893318,1685549967.3263562,2.4443230628967285,2.381347417831421
update,link,ba7d09a5-3a46-4dc7-9f86-7f6959167783,741,2,,,,,1685549967.3910794,1685549969.6473265,1685549969.6396453,2.256247043609619,2.248565912246704
update,link,ba7d09a5-3a46-4dc7-9f86-7f6959167783,741,2,,,,,1685550665.0326014,1685550667.270208,1685550667.2695112,2.2376065254211426,2.236909866333008
update,link,ba7d09a5-3a46-4dc7-9f86-7f6959167783,741,2,,,,,1685550955.4745698,1685550957.7523344,1685550957.752111,2.2777645587921143,2.277541160583496
update,link,ba7d09a5-3a46-4dc7-9f86-7f6959167783,741,2,,,,,1685551428.8252702,1685551431.0387545,1685551431.038471,2.213484287261963,2.213200807571411
delete,service,0cae34e7-e2e1-4680-8086-5859931581f8,9246,2,5,3,,,1685549969.6476643,1685549972.0779035,1685549972.0772672,2.430239200592041,2.429602861404419
get,service,0282f4fb-fdd7-476f-bdb8-c50d5dc3e9d4,9578,2,5,3,,,1685549972.0779762,1685549972.217895,,0.13991880416870117,
delete,link,c77fba89-113c-4a9e-bfe8-ecb64eeb2685,741,2,,,,,1685549972.2183492,1685549974.4569948,1685549974.4566715,2.238645553588867,2.2383222579956055
delete,slice,55dfa260-902b-4a37-bbaf-439b500a5bdc,11160,2,5,3,1,2,1685549974.4575276,1685549976.8262086,1685549976.8166037,2.368680953979492,2.3590760231018066
create,device,0c7f43c2-472a-472a-bf6c-7bf3f679ff1b,116820,25,92,,,,1685549976.8940377,1685549980.0761328,1685549980.055282,3.1820950508117676,3.1612443923950195
create,service,e57ab3ff-5bda-4360-a27c-3ebbecbda69b,10778,2,5,3,,,1685549980.0843132,1685549982.5378058,1685549982.5317478,2.4534926414489746,2.447434663772583
get,device,f15d57b7-63fd-4b59-bd16-a110bc44f717,119578,35,93,,,,1685549982.5378811,1685549982.878916,,0.3410348892211914,
get,device,f15d57b7-63fd-4b59-bd16-a110bc44f717,119578,35,93,,,,1685550012.854644,1685550013.2116394,,0.3569953441619873,
get,device,f15d57b7-63fd-4b59-bd16-a110bc44f717,55375,16,42,,,,1685550074.9285288,1685550075.1903214,,0.2617926597595215,
create,link,84a7d7e6-5c4b-4923-acae-9eb8abd96862,741,2,,,,,1685549982.8804107,1685549985.129161,1685549985.1227257,2.2487502098083496,2.2423150539398193
update,slice,f14f5220-43df-4516-808d-9caf0b582057,12144,2,5,3,1,1,1685549985.1344876,1685549987.6222572,1685549987.6220157,2.487769603729248,2.487528085708618
get,slice,f012d83d-a490-4f3d-8555-619cd95fc028,9421,2,5,3,0,0,1685549987.6234212,1685549987.753326,,0.12990474700927734,
update,service,e57ab3ff-5bda-4360-a27c-3ebbecbda69b,11656,2,5,3,,,1685549987.7623549,1685549990.2292988,1685549990.2186992,2.4669439792633057,2.4563443660736084
get,link,5214f0ae-c140-4494-8208-b7c1e27fb05a,741,2,,,,,1685549990.22942,1685549990.299773,,0.07035303115844727,
get,link,5214f0ae-c140-4494-8208-b7c1e27fb05a,741,2,,,,,1685550892.3042808,1685550892.374177,,0.06989622116088867,
get,link,5214f0ae-c140-4494-8208-b7c1e27fb05a,741,2,,,,,1685551048.376322,1685551048.448601,,0.07227897644042969,
delete,device,4b6224ba-d82f-4bd2-8b1a-20cc6a60cf82,77941,11,71,,,,1685549990.302781,1685549992.9995356,1685549992.9773345,2.6967544555664062,2.674553394317627
update,service,990e1074-d461-4b22-bccf-c257cc174d9c,7764,2,5,3,,,1685549993.003543,1685549995.3934698,1685549995.3828473,2.3899269104003906,2.3793044090270996
get,slice,bfa726f4-bbd3-467b-bc83-86a0727a1b1f,8158,2,5,3,0,1,1685549995.3946009,1685549995.5261598,,0.13155889511108398,
get,slice,bfa726f4-bbd3-467b-bc83-86a0727a1b1f,12000,2,5,3,0,1,1685550122.443335,1685550122.6231914,,0.1798563003540039,
delete,link,c25a0b64-52f4-4723-85dd-02f1f1968ad5,741,2,,,,,1685549995.5266438,1685549997.7980065,1685549997.7977543,2.271362781524658,2.2711105346679688
create,service,4db9fa61-3e7b-4afd-a1bd-da91df178482,10800,2,5,3,,,1685549997.8026242,1685550000.2443523,1685550000.2384768,2.441728115081787,2.435852527618408
delete,service,e57ab3ff-5bda-4360-a27c-3ebbecbda69b,11656,2,5,3,,,1685550000.2449596,1685550002.6226954,1685550002.6153886,2.3777358531951904,2.370429039001465
get,service,1fe7c3a8-93de-4481-9602-c0f5261ee936,9672,2,5,3,,,1685550002.6229007,1685550002.7586746,,0.1357738971710205,
get,service,1fe7c3a8-93de-4481-9602-c0f5261ee936,9672,2,5,3,,,1685550560.033389,1685550560.1129801,,0.07959103584289551,
get,service,1fe7c3a8-93de-4481-9602-c0f5261ee936,9672,2,5,3,,,1685550880.7470407,1685550880.8810577,,0.1340169906616211,
update,device,0c7f43c2-472a-472a-bf6c-7bf3f679ff1b,66564,6,59,,,,1685550002.8196921,1685550005.684628,1685550005.6701274,2.864935874938965,2.850435256958008
update,device,0c7f43c2-472a-472a-bf6c-7bf3f679ff1b,94381,13,79,,,,1685550273.2651217,1685550276.4158263,1685550276.2884195,3.1507046222686768,3.0232977867126465
update,device,0c7f43c2-472a-472a-bf6c-7bf3f679ff1b,107029,7,91,,,,1685550419.0439153,1685550422.1971028,1685550422.1590893,3.1531875133514404,3.1151740550994873
update,device,0c7f43c2-472a-472a-bf6c-7bf3f679ff1b,100523,26,82,,,,1685550653.661165,1685550656.7351372,1685550656.720426,3.073972225189209,3.0592610836029053
update,device,0c7f43c2-472a-472a-bf6c-7bf3f679ff1b,18191,3,15,,,,1685550708.0485904,1685550710.6092708,1685550710.6007073,2.560680389404297,2.552116870880127
update,slice,87537e84-d46b-48ad-9aae-d9d0bdfb7e35,9708,2,5,3,1,2,1685550005.6908176,1685550008.108212,1685550008.099534,2.4173943996429443,2.4087164402008057
delete,slice,b7b21140-8eb1-4e3f-9bcc-0f4e24237858,8748,2,5,3,0,1,1685550008.108918,1685550010.4708874,1685550010.4663498,2.361969470977783,2.3574318885803223
create,slice,ab1f7af1-30ee-441f-b418-63154876db4e,8912,2,5,3,1,2,1685550010.477174,1685550012.8545623,1685550012.848758,2.3773882389068604,2.371583938598633
create,device,afb1223f-17c9-4e92-96e6-447509c3fa68,18892,25,9,,,,1685550013.2260876,1685550015.8121676,1685550015.7567017,2.5860800743103027,2.530614137649536
get,link,5bbcdff3-51e9-4eb1-bdb5-8c30aec6a33f,741,2,,,,,1685550015.812263,1685550015.8848622,,0.07259917259216309,
create,link,9460bf38-f9e3-448a-ae76-6c48ad9bc010,741,2,,,,,1685550015.885306,1685550018.1300807,1685550018.1260426,2.24477481842041,2.240736722946167
update,link,5bbcdff3-51e9-4eb1-bdb5-8c30aec6a33f,741,2,,,,,1685550018.1304853,1685550020.3722522,1685550020.3718197,2.241766929626465,2.2413344383239746
update,service,15163e30-c7e0-412b-8b3b-4063d5744989,7653,2,5,3,,,1685550020.3778064,1685550022.7627425,1685550022.7568865,2.3849360942840576,2.379080057144165
get,device,7152652f-a803-4452-8835-f22df4682329,90040,36,68,,,,1685550022.7659504,1685550023.1297636,,0.3638131618499756,
get,device,7152652f-a803-4452-8835-f22df4682329,124156,31,97,,,,1685550532.3723712,1685550532.728051,,0.3556797504425049,
get,device,7152652f-a803-4452-8835-f22df4682329,101770,12,90,,,,1685550883.3849769,1685550883.7251015,,0.34012460708618164,
get,service,5bcc8f1a-b9f0-4e43-99a0-883013a19b37,8734,2,5,3,,,1685550023.1307156,1685550023.2179427,,0.08722710609436035,
get,service,5bcc8f1a-b9f0-4e43-99a0-883013a19b37,9241,2,5,3,,,1685550861.1194155,1685550861.2573,,0.13788437843322754,
get,service,5bcc8f1a-b9f0-4e43-99a0-883013a19b37,9942,2,5,3,,,1685550952.6089091,1685550952.74671,,0.137800931930542,
get,service,5bcc8f1a-b9f0-4e43-99a0-883013a19b37,10216,2,5,3,,,1685551126.913635,1685551127.0474317,,0.13379669189453125,
delete,link,5bbcdff3-51e9-4eb1-bdb5-8c30aec6a33f,741,2,,,,,1685550023.2182574,1685550025.4597173,1685550025.4605536,2.241459846496582,2.2422962188720703
delete,service,4db9fa61-3e7b-4afd-a1bd-da91df178482,10800,2,5,3,,,1685550025.4602013,1685550027.8297725,1685550027.823424,2.3695712089538574,2.36322283744812
create,service,e8fa19fc-b095-4669-a5b4-f2bbb734986e,9024,2,5,3,,,1685550027.8364985,1685550030.2178354,1685550030.212256,2.3813369274139404,2.3757574558258057
get,link,85bc0dde-646f-44b7-bd87-84e6a930d49b,741,2,,,,,1685550030.2193685,1685550030.2879355,,0.06856703758239746,
get,link,85bc0dde-646f-44b7-bd87-84e6a930d49b,741,2,,,,,1685550702.7660139,1685550702.8397236,,0.07370972633361816,
update,slice,bfa726f4-bbd3-467b-bc83-86a0727a1b1f,12000,2,5,3,0,1,1685550030.2968922,1685550032.762866,1685550032.7386715,2.4659738540649414,2.441779375076294
update,slice,bfa726f4-bbd3-467b-bc83-86a0727a1b1f,10799,2,5,3,2,0,1685550316.9906175,1685550319.526203,1685550319.5199327,2.535585403442383,2.529315233230591
create,slice,7b657e0d-cbbb-4f2f-8023-eda146380715,11488,2,5,3,2,1,1685550032.7783911,1685550035.2259035,1685550035.2201703,2.44751238822937,2.441779136657715
delete,slice,87537e84-d46b-48ad-9aae-d9d0bdfb7e35,9708,2,5,3,1,2,1685550035.2270145,1685550037.5948448,1685550037.5917125,2.367830276489258,2.3646979331970215
update,link,cf684cbf-3cac-477d-85ac-8a26e5e34981,741,2,,,,,1685550037.5951674,1685550039.842084,1685550039.835481,2.2469165325164795,2.2403135299682617
create,link,43898698-7edd-4a04-ab88-45af1295ed15,741,2,,,,,1685550039.8433301,1685550042.0950015,1685550042.094748,2.251671314239502,2.251417875289917
update,device,f15d57b7-63fd-4b59-bd16-a110bc44f717,55375,16,42,,,,1685550042.1275191,1685550044.9618416,1685550044.9191833,2.834322452545166,2.7916641235351562
update,device,f15d57b7-63fd-4b59-bd16-a110bc44f717,95148,31,83,,,,1685550886.8550353,1685550890.047189,1685550889.9719782,3.1921536922454834,3.116942882537842
delete,device,ed9e8bcf-698b-46fb-8b84-f04a417a0e0e,95611,46,73,,,,1685550045.099634,1685550047.875255,1685550047.8396368,2.775621175765991,2.7400028705596924
create,device,42cd9de9-e7d3-49c2-b532-42eb0ca04f5e,24042,15,17,,,,1685550047.8918495,1685550050.622645,1685550050.5508368,2.730795383453369,2.658987283706665
update,slice,593b0301-821e-434e-b403-2b92dcf5a8c1,9191,2,5,3,2,1,1685550050.766848,1685550053.171008,1685550053.1657438,2.4041600227355957,2.398895740509033
update,service,491ad418-1d73-4876-999c-de4920311f14,10935,2,5,3,,,1685550053.1773357,1685550055.6305172,1685550055.6242545,2.453181505203247,2.4469187259674072
update,service,491ad418-1d73-4876-999c-de4920311f14,8225,2,5,3,,,1685550122.6306224,1685550125.1083822,1685550125.1033363,2.477759838104248,2.4727139472961426
update,link,85bc0dde-646f-44b7-bd87-84e6a930d49b,741,2,,,,,1685550055.6310825,1685550057.872527,1685550057.8720276,2.2414443492889404,2.2409451007843018
update,link,85bc0dde-646f-44b7-bd87-84e6a930d49b,741,2,,,,,1685550489.568868,1685550491.8204772,1685550491.8098607,2.2516093254089355,2.240992784500122
update,device,7152652f-a803-4452-8835-f22df4682329,28997,25,16,,,,1685550057.8896043,1685550060.5519521,1685550060.5402298,2.6623477935791016,2.650625467300415
update,device,7152652f-a803-4452-8835-f22df4682329,124156,31,97,,,,1685550138.301946,1685550141.7951078,1685550141.6762526,3.493161916732788,3.3743066787719727
update,device,7152652f-a803-4452-8835-f22df4682329,101770,12,90,,,,1685550565.093574,1685550568.2096174,1685550568.1213007,3.1160433292388916,3.027726650238037
update,device,7152652f-a803-4452-8835-f22df4682329,61691,19,52,,,,1685551652.4879904,1685551655.3687778,1685551655.2948952,2.8807873725891113,2.8069047927856445
create,device,99c37cd3-fe36-477a-ae37-50a84b7152d7,34092,15,26,,,,1685550060.5772042,1685550063.266293,1685550063.240183,2.689088821411133,2.6629788875579834
delete,service,0282f4fb-fdd7-476f-bdb8-c50d5dc3e9d4,9578,2,5,3,,,1685550063.2667284,1685550065.6252794,1685550065.6218038,2.358551025390625,2.3550753593444824
create,link,0db95318-dc3e-47ff-8022-3c310a253988,741,2,,,,,1685550065.6259274,1685550067.8737526,1685550067.868313,2.2478251457214355,2.2423856258392334
delete,link,cf684cbf-3cac-477d-85ac-8a26e5e34981,741,2,,,,,1685550067.8739762,1685550070.1235209,1685550070.1215713,2.249544620513916,2.2475950717926025
create,service,e7f4fc97-2269-4126-ac29-7f1deaef6ba3,9547,2,5,3,,,1685550070.1298902,1685550072.571337,1685550072.563262,2.4414467811584473,2.4333717823028564
delete,slice,00786fb8-b109-4d7a-9fd3-e07c330578b6,9284,2,5,3,1,0,1685550072.5730135,1685550074.9284263,1685550074.9281406,2.355412721633911,2.3551270961761475
create,slice,cb590c68-2855-4dfd-acbe-1ca813a73075,11295,2,5,3,1,2,1685550075.196684,1685550077.6592965,1685550077.6414554,2.4626126289367676,2.4447715282440186
get,link,2921c8bb-7075-4338-975c-31427336f9a7,741,2,,,,,1685550077.6593685,1685550077.735133,,0.07576441764831543,
delete,device,f0bec35f-cd15-4c02-98da-8c4986333237,86015,22,76,,,,1685550077.739987,1685550080.4033363,1685550080.396717,2.6633493900299072,2.6567301750183105
get,slice,cb590c68-2855-4dfd-acbe-1ca813a73075,11295,2,5,3,1,2,1685550080.404987,1685550080.5390306,,0.13404345512390137,
delete,service,990e1074-d461-4b22-bccf-c257cc174d9c,7764,2,5,3,,,1685550080.5405698,1685550082.8751664,1685550082.8684247,2.334596633911133,2.327854871749878
update,device,b36e3dde-1c97-45d1-b62b-7f15bb79b71e,36292,43,15,,,,1685550082.8900733,1685550085.5686276,1685550085.5465324,2.6785542964935303,2.656459093093872
update,link,8305c29e-5e06-4eaa-a17f-957249d482ff,741,2,,,,,1685550085.5692298,1685550087.8205884,1685550087.8195221,2.2513585090637207,2.2502923011779785
create,slice,eb68b280-9e62-42d8-ba6b-2a5f80ec9762,9508,2,5,3,2,1,1685550087.8274055,1685550090.2702475,1685550090.2696562,2.4428420066833496,2.4422507286071777
delete,device,e2ffa3fd-a5c9-4d00-8662-d22e96bae674,54332,44,34,,,,1685550090.2749853,1685550092.8069956,1685550092.7937655,2.532010316848755,2.51878023147583
create,link,7e07cff2-e2a0-4710-a591-a379d0394e8a,741,2,,,,,1685550092.8074,1685550095.0700147,1685550095.0670388,2.2626147270202637,2.259638786315918
create,service,5df2cd3c-b0ec-417c-bd97-f70b411d8933,8216,2,5,3,,,1685550095.077055,1685550097.4590006,1685550097.4538338,2.3819456100463867,2.3767788410186768
get,link,8305c29e-5e06-4eaa-a17f-957249d482ff,741,2,,,,,1685550099.9031074,1685550099.9786518,,0.07554435729980469,
create,device,bb8ffa57-2e61-4710-8c9a-83fc3008a56c,38445,38,20,,,,1685550099.9988592,1685550102.837355,1685550102.7445464,2.8384957313537598,2.745687246322632
delete,slice,ab1f7af1-30ee-441f-b418-63154876db4e,8912,2,5,3,1,2,1685550102.8377497,1685550105.2521703,1685550105.250797,2.4144206047058105,2.4130473136901855
delete,link,9460bf38-f9e3-448a-ae76-6c48ad9bc010,741,2,,,,,1685550105.2523687,1685550107.5092957,1685550107.5071018,2.256927013397217,2.254733085632324
get,slice,ed958540-eade-47ec-b6c6-dae77276e5f3,10018,2,5,3,1,1,1685550107.5094326,1685550107.6502123,,0.14077973365783691,
get,device,99c37cd3-fe36-477a-ae37-50a84b7152d7,34092,15,26,,,,1685550107.6505384,1685550107.8059056,,0.15536713600158691,
get,device,99c37cd3-fe36-477a-ae37-50a84b7152d7,80268,29,64,,,,1685550707.6127717,1685550707.9063988,,0.2936270236968994,
get,device,99c37cd3-fe36-477a-ae37-50a84b7152d7,80268,29,64,,,,1685550828.5911238,1685550828.8830655,,0.29194164276123047,
get,service,c6f2cd89-0ec1-4409-a4f0-d9ddb9f3655c,10242,2,5,3,,,1685550107.8076005,1685550107.8945854,,0.08698487281799316,
get,service,c6f2cd89-0ec1-4409-a4f0-d9ddb9f3655c,9962,2,5,3,,,1685550359.633676,1685550359.7633445,,0.1296684741973877,
get,service,c6f2cd89-0ec1-4409-a4f0-d9ddb9f3655c,10447,2,5,3,,,1685550707.918949,1685550708.039815,,0.12086606025695801,
update,slice,e51e01ed-26a9-4b12-bbf4-630883d84858,9504,2,5,3,0,0,1685550107.9014158,1685550110.350435,1685550110.330456,2.449019193649292,2.4290401935577393
update,slice,e51e01ed-26a9-4b12-bbf4-630883d84858,10739,2,5,3,0,0,1685550801.3919783,1685550803.8415797,1685550803.8334618,2.449601411819458,2.441483497619629
update,slice,1881e59c-a5e9-4039-9d62-f6e738e13081,12134,2,5,3,1,0,1685550110.360366,1685550112.9419231,1685550112.8132286,2.581557035446167,2.452862501144409
update,slice,1881e59c-a5e9-4039-9d62-f6e738e13081,9403,2,5,3,2,0,1685550611.21944,1685550613.7286525,1685550613.7121468,2.5092124938964844,2.492706775665283
update,slice,1881e59c-a5e9-4039-9d62-f6e738e13081,9931,2,5,3,1,0,1685551271.6665807,1685551274.1122277,1685551274.1028738,2.4456470012664795,2.436293125152588
update,slice,1881e59c-a5e9-4039-9d62-f6e738e13081,8324,2,5,3,1,0,1685551639.1965528,1685551641.6390326,1685551641.59717,2.4424798488616943,2.4006173610687256
create,service,5689b23d-36b6-49eb-9173-c1e02007dac8,9714,2,5,3,,,1685550112.9504142,1685550115.3970284,1685550115.3884692,2.4466142654418945,2.4380550384521484
delete,service,7f5cfd8a-cc01-4640-b80b-b46be150b4f9,9643,2,5,3,,,1685550115.397603,1685550117.7541957,1685550117.7538815,2.3565926551818848,2.356278419494629
create,slice,3636e7b5-de41-416e-bd8d-2110a79dbf75,10716,2,5,3,0,1,1685550117.7643867,1685550120.2009525,1685550120.200346,2.43656587600708,2.4359593391418457
delete,link,2921c8bb-7075-4338-975c-31427336f9a7,741,2,,,,,1685550120.2012742,1685550122.4432375,1685550122.4429479,2.2419633865356445,2.241673707962036
get,link,20643d31-7ca0-4490-aff3-84e3dad48d43,741,2,,,,,1685550125.1084924,1685550125.1792572,,0.07076478004455566,
get,link,20643d31-7ca0-4490-aff3-84e3dad48d43,741,2,,,,,1685550362.3390343,1685550362.4111092,,0.07207489013671875,
